21,9,84,2391,38,2021-03-20 00:00
22,3,79,2933,30,2021-11-27 00:01
23,10,80,1319,29,2021-12-18 00:02
24,17,78,2877,37,2021-10-24 00:03
25,16,82,2077,33,2021-08-03 00:04
26,16,86,1615,32,2021-11-17 00:05
27,20,76,1890,32,2021-05-19 00:06
28,5,77,1102,38,2021-02-28 00:07
29,14,77,1525,31,2021-01-04 00:08
30,16,80,2083,33,2021-04-22 00:09
31,13,80,2111,34,2021-08-14 00:00
32,18,82,2565,36,2021-08-08 00:01
33,5,71,1257,30,2021-05-09 00:02
34,4,77,2133,30,2021-06-01 00:03
35,2,76,2309,35,2021-05-06 00:04
36,11,76,1413,38,2021-09-18 00:05
37,17,72,1298,29,2021-03-14 00:06
38,20,73,1916,36,2021-10-04 00:07
39,12,76,2544,32,2021-11-30 00:08
40,3,84,1341,29,2021-06-29 00:09
41,3,81,2561,31,2021-11-10 00:00
42,16,75,2474,32,2021-03-04 00:01
43,3,71,1696,35,2021-09-22 00:02
44,15,84,2000,36,2021-07-12 00:03
45,8,86,2852,32,2021-12-29 00:04
46,5,82,1641,31,2021-12-18 00:05
47,19,76,2159,30,2021-01-25 00:06
48,3,83,2586,34,2021-07-22 00:07
49,16,82,2988,38,2021-03-18 00:08
50,16,86,1370,36,2021-01-11 00:09
51,2,80,1797,34,2021-12-31 00:00
52,10,71,1654,37,2021-12-09 00:01
53,17,76,1618,34,2021-09-14 00:02
54,2,82,2703,35,2021-01-30 00:03
55,1,86,2809,31,2021-06-17 00:04
56,12,82,2598,34,2021-03-08 00:05
57,15,81,2589,36,2021-09-07 00:06
58,6,74,2008,31,2021-07-06 00:07
59,2,81,2028,34,2021-10-06 00:08
60,8,85,1031,33,2021-11-13 00:09
61,6,80,2353,31,2021-08-06 00:00
62,4,80,2861,35,2021-01-13 00:01
63,4,78,2500,32,2021-05-14 00:02
64,14,81,1862,35,2021-08-15 00:03
65,17,76,1089,29,2021-04-07 00:04
66,13,76,1614,34,2021-04-03 00:05
67,18,70,2621,30,2021-08-17 00:06
68,17,77,2668,31,2021-04-18 00:07
69,20,73,2330,30,2021-07-10 00:08
70,18,79,2039,31,2021-03-17 00:09
71,19,71,1553,31,2021-04-26 00:00
72,20,77,2176,32,2021-05-16 00:01
73,17,76,1612,37,2021-11-12 00:02
74,11,71,2540,31,2021-05-03 00:03
75,12,82,2040,32,2021-08-31 00:04
76,4,83,2664,34,2021-11-12 00:05
77,5,74,1132,29,2021-10-10 00:06
78,9,72,2102,32,2021-11-22 00:07
79,1,84,2919,31,2021-02-13 00:08
80,14,70,1162,33,2021-05-05 00:09
81,15,74,1498,29,2021-04-10 00:00
82,9,75,2404,36,2021-12-03 00:01
83,12,84,1215,38,2021-03-19 00:02
84,10,74,1733,38,2021-03-11 00:03
85,13,75,2944,30,2021-07-18 00:04
86,3,86,1420,34,2021-06-15 00:05
87,13,86,1406,33,2021-09-28 00:06
88,3,75,1838,33,2021-10-07 00:07
89,15,72,2485,38,2021-10-14 00:08
90,4,79,1347,37,2021-03-10 00:09
91,7,77,2390,35,2021-09-01 00:00
92,12,80,1153,35,2021-12-18 00:01
93,17,79,1285,32,2021-07-08 00:02
94,5,78,2012,37,2021-08-07 00:03
95,4,85,2464,37,2021-03-04 00:04
96,13,79,2170,31,2021-06-01 00:05
97,18,81,2550,32,2021-04-04 00:06
98,1,80,2197,34,2021-05-22 00:07
99,19,78,2199,35,2021-10-28 00:08
100,10,78,1097,35,2021-08-31 00:09
101,1,82,2579,35,2021-09-04 00:00
102,18,71,2087,30,2021-02-03 00:01
103,1,85,2399,35,2021-12-21 00:02
104,6,78,1728,38,2021-02-01 00:03
105,2,75,2583,35,2021-02-25 00:04
106,16,74,1339,36,2021-11-29 00:05
107,15,71,2295,35,2021-01-29 00:06
108,7,81,1998,37,2021-01-30 00:07
109,17,72,1737,34,2021-09-17 00:08
110,11,73,2117,31,2021-08-15 00:09
111,1,82,2221,38,2021-02-07 00:00
112,18,82,2718,29,2021-03-09 00:01
113,2,71,1592,35,2021-01-28 00:02
114,19,71,2121,32,2021-06-10 00:03
115,6,71,2635,30,2021-11-07 00:04
116,2,84,1516,36,2021-01-22 00:05
117,18,82,1668,32,2021-02-20 00:06
118,2,80,1707,36,2021-07-16 00:07
119,2,81,2981,38,2021-11-14 00:08
120,20,80,2436,33,2021-07-13 00:09
121,3,73,2834,33,2021-02-19 00:00
122,10,82,1044,36,2021-09-17 00:01
123,10,75,2425,37,2021-12-27 00:02
124,3,73,2498,38,2021-09-01 00:03
125,5,82,1043,37,2021-12-25 00:04
126,18,76,1594,32,2021-04-15 00:05
127,20,85,2464,30,2021-10-30 00:06
128,15,85,2982,38,2021-03-07 00:07
129,17,71,1436,33,2021-06-06 00:08
130,14,82,1767,36,2021-08-26 00:09
131,19,70,2551,33,2021-07-31 00:00
132,10,73,2489,37,2021-05-08 00:01
133,7,71,1963,38,2021-05-07 00:02
134,19,83,2025,36,2021-04-13 00:03
135,5,72,1128,38,2021-06-02 00:04
136,2,78,1629,31,2021-04-26 00:05
137,5,78,2954,34,2021-07-24 00:06
138,18,73,1827,37,2021-11-23 00:07
139,19,86,2321,32,2021-06-18 00:08
140,16,86,2191,37,2021-05-04 00:09
141,3,81,2323,35,2021-08-23 00:00
142,2,78,2034,32,2021-10-24 00:01
143,11,75,2684,37,2021-03-04 00:02
144,20,74,1808,36,2021-07-04 00:03
145,5,86,2072,29,2021-04-06 00:04
146,5,70,1031,30,2021-06-23 00:05
147,17,82,1185,33,2021-10-23 00:06
148,3,82,2959,34,2021-06-28 00:07
149,2,79,2987,38,2021-09-07 00:08
150,11,81,1900,29,2021-03-14 00:09
151,17,83,2243,36,2021-07-23 00:00
152,11,81,2382,34,2021-07-14 00:01
153,18,85,3000,33,2021-11-18 00:02
154,20,71,2191,34,2021-06-22 00:03
155,11,78,1140,37,2021-09-25 00:04
156,9,80,1844,34,2021-01-03 00:05
157,8,77,1200,29,2021-08-17 00:06
158,3,83,1544,30,2021-01-20 00:07
159,16,86,1409,37,2021-09-08 00:08
160,10,71,2681,36,2021-10-23 00:09
161,8,86,2014,31,2021-01-19 00:00
162,3,80,1276,37,2021-11-24 00:01
163,7,81,2745,38,2021-12-02 00:02
164,16,86,2014,32,2021-04-02 00:03
165,20,74,2349,37,2021-05-19 00:04
166,15,77,2034,31,2021-10-11 00:05
167,13,74,1707,31,2021-05-13 00:06
168,8,72,1689,32,2021-08-30 00:07
169,20,79,1410,37,2021-10-06 00:08
170,10,75,1723,38,2021-02-23 00:09
171,8,86,2935,38,2021-05-28 00:00
172,3,79,2112,31,2021-07-15 00:01
173,6,79,1614,33,2021-12-30 00:02
174,4,70,2574,30,2021-07-22 00:03
175,12,80,1110,37,2021-02-16 00:04
176,13,86,1023,36,2021-08-18 00:05
177,20,70,2782,33,2021-10-19 00:06
178,3,80,1729,38,2021-07-22 00:07
179,13,73,2081,37,2021-06-11 00:08
180,20,76,2470,30,2021-04-30 00:09
181,18,75,1657,29,2021-11-08 00:00
182,11,81,2939,29,2021-08-21 00:01
183,1,79,1432,37,2021-07-26 00:02
184,2,76,2280,37,2021-10-12 00:03
185,17,82,2005,34,2021-11-28 00:04
186,8,80,2358,33,2021-10-29 00:05
187,17,79,2215,33,2021-05-31 00:06
188,17,73,2744,35,2021-04-11 00:07
189,5,86,1449,29,2021-11-07 00:08
190,18,73,1572,38,2021-11-20 00:09
191,19,75,2068,35,2021-06-15 00:00
192,6,70,2540,31,2021-10-23 00:01
193,14,76,1106,31,2021-12-15 00:02
194,15,83,2807,33,2021-10-12 00:03
195,10,83,2775,38,2021-09-26 00:04
196,19,80,1491,29,2021-09-01 00:05
197,4,75,1890,31,2021-07-05 00:06
198,15,71,1133,30,2021-03-09 00:07
199,18,83,1721,34,2021-03-07 00:08
200,19,81,2606,34,2021-10-19 00:09
201,3,73,2698,31,2021-07-09 00:00
202,8,74,1234,29,2021-02-02 00:01
203,13,72,2497,38,2021-05-13 00:02
204,4,83,2998,31,2021-12-02 00:03
205,16,72,1606,33,2021-11-18 00:04
206,1,84,1189,37,2021-06-15 00:05
207,2,70,1315,37,2021-07-11 00:06
208,9,75,2125,30,2021-09-11 00:07
209,17,83,1735,38,2021-10-17 00:08
210,8,86,2360,29,2021-09-20 00:09
211,3,74,2597,34,2021-11-01 00:00
212,20,79,2852,31,2021-03-11 00:01
213,9,80,1999,36,2021-06-30 00:02
214,16,73,1718,33,2021-05-06 00:03
215,4,72,2974,31,2021-10-24 00:04
216,16,70,2044,33,2021-01-21 00:05
217,3,71,2535,31,2021-09-11 00:06
218,7,84,1680,37,2021-10-25 00:07
219,7,76,2327,32,2021-03-15 00:08
220,8,74,2191,38,2021-04-07 00:09
221,3,79,2476,37,2021-08-08 00:00
222,3,76,2961,31,2021-07-22 00:01
223,18,81,2545,34,2021-09-14 00:02
224,3,79,2753,36,2021-02-14 00:03
225,9,85,1723,31,2021-07-18 00:04
226,8,85,2490,32,2021-06-26 00:05
227,8,79,1777,38,2021-05-01 00:06
228,6,81,1558,32,2021-10-16 00:07
229,4,79,2558,38,2021-07-10 00:08
230,13,79,2048,33,2021-06-29 00:09
231,11,70,1300,31,2021-06-05 00:00
232,5,76,1788,31,2021-09-01 00:01
233,1,80,2646,34,2021-08-21 00:02
234,16,77,2922,32,2021-02-04 00:03
235,14,74,2052,35,2021-10-31 00:04
236,3,83,1726,33,2021-12-17 00:05
237,5,83,1590,31,2021-05-25 00:06
238,7,82,2656,31,2021-04-07 00:07
239,1,78,2165,34,2021-03-25 00:08
240,6,83,1754,29,2021-05-22 00:09
241,7,85,1268,29,2021-03-06 00:00
242,1,86,1293,32,2021-01-22 00:01
243,3,80,1812,33,2021-06-04 00:02
244,19,76,1792,38,2021-06-26 00:03
245,5,83,2548,34,2021-10-21 00:04
246,10,83,2498,38,2021-03-18 00:05
247,6,72,1149,31,2021-07-06 00:06
248,20,75,1121,36,2021-03-31 00:07
249,5,77,1332,34,2021-08-17 00:08
250,17,76,1467,30,2021-06-14 00:09
251,5,84,1907,37,2021-05-03 00:00
252,18,77,2307,38,2021-05-15 00:01
253,18,73,2756,30,2021-07-14 00:02
254,17,71,1833,29,2021-12-02 00:03
255,20,82,2545,38,2021-09-20 00:04
256,15,76,2703,38,2021-06-15 00:05
257,16,81,2884,34,2021-07-24 00:06
258,12,75,1809,37,2021-10-13 00:07
259,11,74,2585,34,2021-11-24 00:08
260,20,78,2511,34,2021-10-22 00:09
261,20,74,1462,36,2021-10-20 00:00
262,14,73,1367,35,2021-08-10 00:01
263,8,81,2204,31,2021-04-13 00:02
264,3,71,1967,37,2021-06-10 00:03
265,3,78,2510,29,2021-05-16 00:04
266,19,80,2921,29,2021-01-01 00:05
267,6,85,1973,33,2021-09-03 00:06
268,1,86,2182,35,2021-05-06 00:07
269,6,72,2173,38,2021-01-19 00:08
270,14,78,2029,35,2021-06-05 00:09
271,10,86,2063,33,2021-11-11 00:00
272,9,85,2819,37,2021-02-25 00:01
273,1,86,1404,34,2021-10-11 00:02
274,8,76,2750,34,2021-09-21 00:03
275,3,86,2179,33,2021-05-18 00:04
276,16,83,1949,33,2021-05-20 00:05
277,20,70,2904,35,2021-07-23 00:06
278,4,72,2417,30,2021-04-03 00:07
279,3,75,1939,35,2021-11-30 00:08
280,1,73,2638,35,2021-12-09 00:09
281,16,79,1878,38,2021-07-06 00:00
282,2,73,1909,36,2021-08-24 00:01
283,6,79,1835,30,2021-03-04 00:02
