62,su-9672,2,2021-12-04 00:01,2021-08-16 00:01,78,28.92,1.01,200
63,su-9676,5,2021-06-17 00:02,2021-07-23 00:02,19,28.65,1.37,230
64,su-9678,3,2021-06-06 00:03,2021-02-14 00:03,78,12.79,1.46,210
65,su-9680,4,2021-11-22 00:04,2021-11-19 00:04,19,13.53,1.53,200
66,su-9681,4,2021-10-02 00:05,2021-04-13 00:05,78,62.94,1.24,250
67,su-9481,5,2021-11-26 00:06,2021-02-08 00:06,19,79.98,1.5,250
68,su-9484,5,2021-03-31 00:07,2021-03-21 00:07,78,37.4,1.28,230
69,su-9489,2,2021-04-30 00:08,2021-04-15 00:08,19,64.18,1.36,210
70,su-9491,1,2021-01-22 00:09,2021-02-19 00:09,78,40.77,1.51,250
71,su-9492,2,2021-02-01 00:00,2021-11-05 00:00,19,42.78,1.27,210
72,su-9496,2,2021-05-22 00:01,2021-08-25 00:01,78,40.42,1.06,230
73,su-9497,5,2021-10-27 00:02,2021-08-10 00:02,19,94.8,1.03,250
74,su-950,5,2021-03-12 00:03,2021-06-05 00:03,78,22.85,1.37,210
75,su-9501,3,2021-05-14 00:04,2021-04-06 00:04,19,61.69,1.11,200
76,su-9505,1,2021-08-15 00:05,2021-04-24 00:05,78,64.38,1.5,200
77,su-9507,3,2021-10-07 00:06,2021-01-05 00:06,19,2.12,1.35,210
78,su-951,5,2021-03-03 00:07,2021-09-12 00:07,78,84.31,1.42,250
79,su-9513,1,2021-10-16 00:08,2021-01-14 00:08,19,33.94,1.55,200
80,su-9514,1,2021-03-18 00:09,2021-06-22 00:09,78,94.8,1.2,250
81,su-9515,5,2021-10-07 00:00,2021-01-19 00:00,19,9.96,1.17,220
82,su-952,1,2021-11-16 00:01,2021-11-19 00:01,78,24.07,1.08,220
83,su-9529,4,2021-07-04 00:02,2021-02-08 00:02,19,24.59,1.48,230
84,su-9530,1,2021-02-07 00:03,2021-10-17 00:03,78,35.16,1.31,220
